thr1,thr2,slope,beta,full,last,combined
0.4,0.65,10,0.9,0.5372331511020705,1.0,0.6760632057714493
0.4,0.65,10,0.95,0.5529285343403917,0.9735203497453215,0.6791060789618706
0.4,0.65,10,1.0,0.5642474599958942,0.8816532793359313,0.6594692057979052
0.4,0.65,10,1.05,0.5709764228808588,0.7382640499766717,0.6211627110096026
0.4,0.65,10,1.1,0.5722881733908154,0.6171773492291078,0.5857549261423031
0.4,0.65,20,0.9,0.5331433067370809,1.0,0.6732003147159566
0.4,0.65,20,0.95,0.5496130209778294,1.0,0.6847291146844805
0.4,0.65,20,1.0,0.5615884660560746,0.9996398067744758,0.6930038682715949
0.4,0.65,20,1.05,0.566570624582743,0.840581755734187,0.6487739639281762
0.4,0.65,20,1.1,0.5675087962247456,0.7068294177104082,0.6093049826704443
0.4,0.65,40,0.9,0.5310131484236076,1.0,0.6717092038965253
0.4,0.65,40,0.95,0.5462451153162031,1.0,0.6823715807213422
0.4,0.65,40,1.0,0.5581949655817221,1.0,0.6907364759072054
0.4,0.65,40,1.05,0.5625016091786917,0.8408964152537148,0.6460200510011986
0.4,0.65,40,1.1,0.5613745308340315,0.707106781186548,0.6050942059397865
0.4,0.65,60,0.9,0.5301497157285708,1.0,0.6711048010099996
0.4,0.65,60,0.95,0.5450281618370966,1.0,0.6815197132859676
0.4,0.65,60,1.0,0.556269273213329,1.0,0.6893884912493302
0.4,0.65,60,1.05,0.5601315050544775,0.8408964152537148,0.6443609781142488
0.4,0.65,60,1.1,0.5581212575089638,0.707106781186548,0.6028169146122391
0.4,0.7,10,0.9,0.5362574796694871,1.0,0.6753802357686409
0.4,0.7,10,0.95,0.5533666958332486,0.9735203497453215,0.6794127920068704
0.4,0.7,10,1.0,0.5654773206729415,0.8816532793359313,0.6603301082718385
0.4,0.7,10,1.05,0.5724183304621757,0.7382640499766717,0.6221720463165245
0.4,0.7,10,1.1,0.5738650331846051,0.6171773492291078,0.5868587279979559
0.4,0.7,20,0.9,0.5320986888953142,1.0,0.6724690822267199
0.4,0.7,20,0.95,0.5493850264201687,1.0,0.6845695184941181
0.4,0.7,20,1.0,0.5618759574554284,0.9996398067744758,0.6932051122511427
0.4,0.7,20,1.05,0.5671721909746404,0.840581755734187,0.6491950604025043
0.4,0.7,20,1.1,0.5682802880466119,0.7068294177104082,0.6098450269457507
0.4,0.7,40,0.9,0.5296012515870452,1.0,0.6707208761109316
0.4,0.7,40,0.95,0.5454077269320727,1.0,0.6817854088524509
0.4,0.7,40,1.0,0.5573889035745091,1.0,0.6901722325021563
0.4,0.7,40,1.05,0.5619993456074414,0.8408964152537148,0.6456684665013234
0.4,0.7,40,1.1,0.5612278434244619,0.707106781186548,0.6049915247530877
0.4,0.7,60,0.9,0.5288346934728207,1.0,0.6701842854309745
0.4,0.7,60,0.95,0.5440717577710266,1.0,0.6808502304397186
0.4,0.7,60,1.0,0.5551890566581056,1.0,0.6886323396606739
0.4,0.7,60,1.05,0.5593077138688154,0.8408964152537148,0.6437843242842851
0.4,0.7,60,1.1,0.5579488184425175,0.707106781186548,0.6026962072657267
0.4,0.75,10,0.9,0.5354422730426138,1.0,0.6748095911298296
0.4,0.75,10,0.95,0.553306146708031,0.9735203497453215,0.6793704076192182
0.4,0.75,10,1.0,0.5665296139089099,0.8816532793359313,0.6610667135370163
0.4,0.75,10,1.05,0.5737860464166276,0.7382640499766717,0.6231294474846408
0.4,0.75,10,1.1,0.5752768810230674,0.6171773492291078,0.5878470214848796
0.4,0.75,20,0.9,0.5313031019327742,1.0,0.6719121713529419
0.4,0.75,20,0.95,0.5486561038791207,1.0,0.6840592727153845
0.4,0.75,20,1.0,0.5622613345009239,0.9996398067744758,0.6934748761829894
0.4,0.75,20,1.05,0.5677322746565964,0.840581755734187,0.6495871189798735
0.4,0.75,20,1.1,0.5685251563417367,0.7068294177104082,0.6100164347523381
0.4,0.75,40,0.9,0.5281423127335826,1.0,0.6696996189135078
0.4,0.75,40,0.95,0.5446265306451155,1.0,0.6812385714515807
0.4,0.75,40,1.0,0.5577276985887462,1.0,0.6904093890121223
0.4,0.75,40,1.05,0.5624928902099484,0.8408964152537148,0.6460139477230783
0.4,0.75,40,1.1,0.561437656628686,0.707106781186548,0.6051383939960446
0.4,0.75,60,0.9,0.5271179826179192,1.0,0.6689825878325434
0.4,0.75,60,0.95,0.5433548326388937,1.0,0.6803483828472257
0.4,0.75,60,1.0,0.5557431239785097,1.0,0.6890201867849568
0.4,0.75,60,1.05,0.5601717302095032,0.8408964152537148,0.6443891357227667
0.4,0.75,60,1.1,0.5585635714608003,0.707106781186548,0.6031265343785246
0.4,0.8,10,0.9,0.5347563624004465,1.0,0.6743294536803126
0.4,0.8,10,0.95,0.5532083093404663,0.9735203497453215,0.6793019214619228
0.4,0.8,10,1.0,0.5673784892421427,0.8816532793359313,0.6616609262702793
0.4,0.8,10,1.05,0.5748930497552168,0.7382640499766717,0.6239043498216533
0.4,0.8,10,1.1,0.5767227739482492,0.6171773492291078,0.5888591465325068
0.4,0.8,20,0.9,0.5308447436041626,1.0,0.6715913205229138
0.4,0.8,20,0.95,0.547847147124491,1.0,0.6834930029871437
0.4,0.8,20,1.0,0.5626025604263398,0.9996398067744758,0.6937137343307807
0.4,0.8,20,1.05,0.5682812519134922,0.840581755734187,0.6499714030597006
0.4,0.8,20,1.1,0.5689615291024598,0.7068294177104082,0.6103218956848443
0.4,0.8,40,0.9,0.5275705061926097,1.0,0.6692993543348267
0.4,0.8,40,0.95,0.5440680715630051,1.0,0.6808476500941035
0.4,0.8,40,1.0,0.5572844578397331,1.0,0.6900991204878131
0.4,0.8,40,1.05,0.5625243618367028,0.8408964152537148,0.6460359778618063
0.4,0.8,40,1.1,0.5614318990870129,0.707106781186548,0.6051343637168733
0.4,0.8,60,0.9,0.5264781150053075,1.0,0.6685346805037152
0.4,0.8,60,0.95,0.5426679654975249,1.0,0.6798675758482674
0.4,0.8,60,1.0,0.5549379193975098,1.0,0.6884565435782568
0.4,0.8,60,1.05,0.5599225393514057,0.8408964152537148,0.6442147021220984
0.4,0.8,60,1.1,0.5583549754045619,0.707106781186548,0.6029805171391578
0.4,0.85,10,0.9,0.5344910199653318,1.0,0.6741437139757323
0.4,0.85,10,0.95,0.5531076372325496,0.9735203497453215,0.6792314509863812
0.4,0.85,10,1.0,0.5680589326172758,0.8816533612356975,0.6621372612028023
0.4,0.85,10,1.05,0.5760386590572564,0.7382641185935753,0.624706296918152
0.4,0.85,10,1.1,0.5782999900042513,0.6171774067174014,0.5899632150181963
0.4,0.85,20,0.9,0.5305094640542996,1.0,0.6713566248380096
0.4,0.85,20,0.95,0.5478981081628345,1.0,0.683528675713984
0.4,0.85,20,1.0,0.5626727349265226,0.9996398067159955,0.6937628564633644
0.4,0.85,20,1.05,0.5694244556710929,0.8405817556825317,0.6507716456745245
0.4,0.85,20,1.1,0.5704187405615188,0.7068294176649301,0.6113419436925421
0.4,0.85,40,0.9,0.5288480524649081,1.0,0.6701936367254356
0.4,0.85,40,0.95,0.5447862957176733,1.0,0.6813504070023713
0.4,0.85,40,1.0,0.5583509147089006,1.0,0.6908456402962304
0.4,0.85,40,1.05,0.5639323826290568,0.8408964152537148,0.6470215924164542
0.4,0.85,40,1.1,0.5624890142460591,0.707106781186548,0.6058743443282057
0.4,0.85,60,0.9,0.5276205646513259,1.0,0.6693343952559281
0.4,0.85,60,0.95,0.5436254401543027,1.0,0.6805378081080118
0.4,0.85,60,1.0,0.5559467661099673,1.0,0.689162736276977
0.4,0.85,60,1.05,0.5608940906701539,0.8408964152537148,0.6448947880452222
0.4,0.85,60,1.1,0.5589144442276325,0.707106781186548,0.6033721453153071
0.4,0.9,10,0.9,0.5348538745998676,1.0,0.6743977122199072
0.4,0.9,10,0.95,0.5534146176446627,0.9735202709425907,0.6794463136340411
0.4,0.9,10,1.0,0.5682835554053982,0.881653295958176,0.6622944775712315
0.4,0.9,10,1.05,0.5768491705667965,0.7382640645198614,0.6252736387527159
0.4,0.9,10,1.1,0.5796331855194935,0.6171773619245625,0.5908964384410141
0.4,0.9,20,0.9,0.531040121394931,1.0,0.6717280849764516
0.4,0.9,20,0.95,0.5483538784647412,1.0,0.6838477149253188
0.4,0.9,20,1.0,0.5633640862886461,0.9996398948788496,0.6942468288657071
0.4,0.9,20,1.05,0.5710362177686572,0.8405819039357063,0.6518999236187719
0.4,0.9,20,1.1,0.5724178143276681,0.7068295423313484,0.6127413327287722
0.4,0.9,40,0.9,0.5296579746672846,1.0,0.6707605822670992
0.4,0.9,40,0.95,0.5460177730045457,1.0,0.682212441103182
0.4,0.9,40,1.0,0.5603492316362363,1.0,0.6922444621453654
0.4,0.9,40,1.05,0.5666942752095097,0.8408964152537148,0.6489549172227711
0.4,0.9,40,1.1,0.5657679399791622,0.707106781186548,0.6081695923413779
0.4,0.9,60,0.9,0.5298990259022207,1.0,0.6709293181315545
0.4,0.9,60,0.95,0.5458581536602716,1.0,0.6821007075621901
0.4,0.9,60,1.0,0.5591494011311097,1.0,0.6914045807917768
0.4,0.9,60,1.05,0.5653313121466889,0.8408964152537148,0.6480008430787967
0.4,0.9,60,1.1,0.5632288808927809,0.707106781186548,0.606392250980911
0.5,0.65,10,0.9,0.5353552175114157,0.9128180708310308,0.6485940735073001
