thr,slope,beta,full,last,combined
0.5,10,1.05,0.5665020304391736,0.6129104201462083,0.580424547351284
0.5,10,1.1,0.5668309043831709,0.5088470567391213,0.5494357500899559
0.5,20,0.85,0.5164187914477133,1.0,0.6614931540133993
0.5,20,0.9,0.5324070455284207,1.0,0.6726849318698944
0.5,20,0.95,0.5467810479419755,1.0,0.6827467335593829
0.5,20,1.0,0.5567921843232126,0.9974284233321912,0.6889830560259063
0.5,20,1.05,0.561060965548646,0.8386502363598531,0.6443377467920082
0.5,20,1.1,0.5616710676205011,0.7051279426756079,0.6047081301370332
0.5,40,0.85,0.5143151766873871,1.0,0.660020623681171
0.5,40,0.9,0.5315515026554565,1.0,0.6720860518588194
0.5,40,0.95,0.5458793995789086,1.0,0.6821155797052361
0.5,40,1.0,0.5560305472286451,1.0,0.6892213830600515
0.5,40,1.05,0.5604573276522723,0.8408964152537148,0.644589053932705
0.5,40,1.1,0.5612389976716354,0.707106781186548,0.6049993327261092
0.6,3,0.85,0.5314979588487889,0.25184996887866107,0.4476035618577506
0.6,3,0.9,0.5481643639261391,0.2511300853033689,0.45905408033930806
0.6,3,0.95,0.5643499734562689,0.2506904099767397,0.4702521044124101
0.6,3,1.0,0.5791306662290294,0.25042182860856055,0.48051801494288876
0.6,3,1.05,0.5891330218788073,0.2502577433279725,0.48747043831355685
0.6,3,1.1,0.5903958664537757,0.25015749000190657,0.48832435351821496
0.6,5,0.85,0.5250908416839213,0.2764505730485705,0.45049876109331605
0.6,5,0.9,0.5416442466365113,0.2687688284464265,0.45978162117948584
0.6,5,0.95,0.5568213540159949,0.2633314374386694,0.4687743790427972
0.6,5,1.0,0.5711380663769665,0.2594770397193066,0.4776397583796685
0.6,5,1.05,0.581295365230359,0.2567415204382904,0.48392921179273835
0.6,5,1.1,0.5838896962692894,0.24657404953458079,0.48269500224887685
0.6,10,0.85,0.5241797489123614,0.7290105040937814,0.5856289754667874
0.6,10,0.9,0.5397118929097473,0.6555808637003422,0.5744725841469257
0.6,10,0.95,0.554144818938636,0.5761153834167908,0.5607359882820824
0.6,10,1.0,0.5669732803924459,0.5124122508566461,0.5506049715317058
0.6,10,1.05,0.5749555043080367,0.43122467849357105,0.5318362565636969
0.6,10,1.1,0.5774098276882674,0.3555928612651296,0.510864737761326
0.6,20,0.85,0.5221709946610109,1.0,0.6655196962627077
0.6,20,0.9,0.5392959792485489,1.0,0.6775071854739843
0.6,20,0.95,0.5553056187211559,1.0,0.6887139331048091
0.6,20,1.0,0.5688641615267858,0.9812949683019108,0.6925934035593232
0.6,20,1.05,0.5761632957919196,0.8245720385179978,0.650685918609743
0.6,20,1.1,0.5776166525778241,0.6927382920380227,0.6121531444158836
0.6,40,0.85,0.5231401318978506,1.0,0.6661980923284954
0.6,40,0.9,0.5397563544754324,1.0,0.6778294481328027
0.6,40,0.95,0.5558331386925851,1.0,0.6890831970848095
0.6,40,1.0,0.570083357284506,0.9999910099900269,0.6990556530961622
0.6,40,1.05,0.577588794709051,0.8408887073627013,0.6565787685051461
0.6,40,1.1,0.5792461504999158,0.7070998633941228,0.6176022643681779
0.7,3,0.85,0.5362655254352071,0.25047922077574397,0.4505296340373681
0.7,3,0.9,0.5539527944231681,0.25027046635942213,0.4628480960040443
0.7,3,0.95,0.5701335097147527,0.25015265240230666,0.47413925252101885
0.7,3,1.0,0.5840664751975503,0.25008615915544485,0.48387238038491864
0.7,3,1.05,0.5923487844668347,0.2500486299901936,0.48965873812384236
0.7,3,1.1,0.5949406438946784,0.25002744790022935,0.49146668509634367
0.7,5,0.85,0.531064903372872,0.2558625702556137,0.44850420343769454
0.7,5,0.9,0.5480009251209987,0.2538285856241538,0.45974922327194523
0.7,5,0.95,0.5649347480289779,0.25250110292062344,0.4712046544964716
0.7,5,1.0,0.579946346784773,0.251634288701454,0.48145272935977723
0.7,5,1.05,0.5891383508841697,0.25106807559810684,0.4877172682983508
0.7,5,1.1,0.5932901709759439,0.2506981193408554,0.4905125554854174
0.7,10,0.85,0.5310010409868893,0.4255387910258357,0.4993623659985732
0.7,10,0.9,0.5466331059200533,0.3856183581134978,0.49832868157808663
0.7,10,0.95,0.5625696387445489,0.35495043895071465,0.5002838788063986
0.7,10,1.0,0.5776482467602423,0.3313394747983982,0.5037556151716891
0.7,10,1.05,0.5863021737556778,0.2998961822236355,0.5003803762960651
0.7,10,1.1,0.5893038247200569,0.24928097745738492,0.4872969705412553
0.7,20,0.85,0.5338796991652373,1.0,0.673715789415666
0.7,20,0.9,0.549603564375237,1.0,0.6847224950626659
0.7,20,0.95,0.5652836172667206,0.9656090080362639,0.6853812344975836
0.7,20,1.0,0.5794115677820441,0.8759749127110606,0.6683805712607489
0.7,20,1.05,0.5876168203262898,0.7333429651137586,0.6313346637625304
0.7,20,1.1,0.5904900067472189,0.6129223268613939,0.5972197027814714
0.7,40,0.85,0.5335809856762107,1.0,0.6735066899733475
0.7,40,0.9,0.5489033498438701,1.0,0.684232344890709
0.7,40,0.95,0.5649342629243574,1.0,0.6954539840470502
0.7,40,1.0,0.5788628286984714,0.9995873322394865,0.7050801797607759
0.7,40,1.05,0.586792615174781,0.8405354855600932,0.6629154762903746
0.7,40,1.1,0.5894473307519763,0.7067886438475436,0.6246497246806465
0.75,3,0.85,0.5390774763937435,0.2502274991713703,0.4524224832270315
0.75,3,0.9,0.5565947457808655,0.2501228984567184,0.4646531915836214
